date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-07-29,2300.9,2400.0,2266.12,2382.92,2382.92,499364.0,0.0,1.0
2021-07-28,2299.47,2345.0,2243.15,2300.9,2300.9,718202.0,0.0,1.0
2021-07-27,2227.81,2319.26,2150.5,2299.49,2299.49,906359.0,0.0,1.0
2021-07-26,2189.82,2433.65,2171.57,2228.08,2228.08,1393738.0,0.0,1.0
2021-07-25,2184.9,2197.41,2105.93,2189.79,2189.79,535630.0,0.0,1.0
2021-07-24,2124.26,2199.5,2105.58,2184.75,2184.75,633075.0,0.0,1.0
2021-07-23,2024.27,2130.9,1993.22,2124.25,2124.25,708160.0,0.0,1.0
2021-07-22,1995.5,2046.0,1947.62,2024.56,2024.56,768854.0,0.0,1.0
2021-07-21,1786.03,2035.23,1747.55,1995.5,1995.5,1115949.0,0.0,1.0
2021-07-20,1818.73,1841.34,1706.0,1786.03,1786.03,786257.0,0.0,1.0
2021-07-19,1891.65,1919.0,1805.0,1818.73,1818.73,547419.0,0.0,1.0
2021-07-18,1899.5,1993.79,1877.1,1891.64,1891.64,534837.0,0.0,1.0
2021-07-17,1876.47,1919.19,1844.45,1899.59,1899.59,430300.0,0.0,1.0
2021-07-16,1919.54,1965.0,1850.0,1876.26,1876.26,577068.0,0.0,1.0
2021-07-15,1994.41,2042.88,1881.0,1919.51,1919.51,645271.0,0.0,1.0
2021-07-14,1940.44,2019.18,1865.0,1994.58,1994.58,690505.0,0.0,1.0
2021-07-13,2031.57,2047.35,1918.0,1940.15,1940.15,647388.0,0.0,1.0
2021-07-12,2140.54,2167.83,2006.68,2031.58,2031.58,540630.0,0.0,1.0
2021-07-11,2110.68,2174.0,2081.02,2140.45,2140.45,342294.0,0.0,1.0
2021-07-10,2146.99,2194.82,2074.16,2110.69,2110.69,499071.0,0.0,1.0
2021-07-09,2116.32,2189.4,2046.51,2146.99,2146.99,738611.0,0.0,1.0
2021-07-08,2316.25,2325.6,2084.79,2116.33,2116.33,880265.0,0.0,1.0
2021-07-07,2322.51,2409.0,2291.9,2316.57,2316.57,666501.0,0.0,1.0
2021-07-06,2196.85,2350.0,2193.0,2322.5,2322.5,785330.0,0.0,1.0
2021-07-05,2322.69,2324.64,2157.32,2196.53,2196.53,781806.0,0.0,1.0
2021-07-04,2226.99,2389.93,2189.58,2322.69,2322.69,590656.0,0.0,1.0
2021-07-03,2153.95,2240.0,2112.01,2226.99,2226.99,569264.0,0.0,1.0
2021-07-02,2106.41,2160.0,2018.5,2154.13,2154.13,672282.0,0.0,1.0
2021-07-01,2275.68,2275.93,2073.12,2106.41,2106.41,787865.0,0.0,1.0
2021-06-30,2165.46,2287.78,2087.99,2275.68,2275.68,910583.0,0.0,1.0
2021-06-29,2084.42,2245.0,2073.57,2165.33,2165.33,831257.0,0.0,1.0
